#OTU ID,s2_Stn1Cast14110m02um,s2_Stn1Cast14110m22um,s2_Stn1Cast14110m2um,s4_Stn1Cast1470m02um,s4_Stn1Cast1470m22um,s4_Stn1Cast1470m2um,s5_Stn1Cast1840m02um,s5_Stn1Cast1840m22um,s5_Stn1Cast1840m2um,s1_Stn1Cast6120m02um,s1_Stn1Cast6120m22um,s1_Stn1Cast6120m2um,s3_Stn1Cast683m02um,s3_Stn1Cast683m22um,s3_Stn1Cast683m2um,s4_Stn2Cast3190m02um,s4_Stn2Cast3190m22um,s4_Stn2Cast3190m2um,s3_Stn2Cast47113m02um,s3_Stn2Cast47113m22um,s3_Stn2Cast47113m2um,s2_Stn2Cast55120m02um,s2_Stn2Cast55120m22um,s2_Stn2Cast55120m2um,s5_Stn2Cast5930m02um,s5_Stn2Cast5930m22um,s5_Stn2Cast5930m2um,s1_Stn2Cast59900m02um,s1_Stn2Cast59900m22um,s1_Stn2Cast59900m2um,s3_Stn3Cast7245m02um,s3_Stn3Cast7245m22um,s3_Stn3Cast7245m2um,s5_Stn3Cast7633m02um,s5_Stn3Cast7633m22um,s5_Stn3Cast7633m2um,s1_Stn3Cast811000m02um,s1_Stn3Cast811000m22um,s1_Stn3Cast811000m2um,s6_Stn3Cast9310m02um,s6_Stn3Cast9310m22um,s6_Stn3Cast9310m2um,s2_Stn3Cast9370m02um,s2_Stn3Cast9370m22um,s2_Stn3Cast9370m2um,s4_Stn3Cast9740m02um,s4_Stn3Cast9740m22um,s4_Stn3Cast9740m2um
Zotu18,2377,1463,2563,800,1039,443,6,0,3,34,4,17,993,433,133,94,95,53,123,3,2,146,264,574,4,8,6,0,0,0,1537,1115,183,312,549,72,1,3,3,33,45,56,1093,0,89,75,294,2
Zotu5,3660,2320,2761,1525,1642,630,2,0,0,261,8,167,2282,645,173,858,370,134,659,3,5,560,579,675,0,7,3,0,0,0,3605,1783,149,561,235,17,1,0,1,0,0,0,933,0,123,24,39,0
Zotu13,2188,1268,1589,1441,1107,440,1,0,0,147,2,60,1471,445,142,680,154,51,428,13,1,554,410,655,10,8,8,0,0,0,2371,965,81,564,219,20,4,10,8,44,45,36,814,0,86,44,130,0
Zotu315,0,18,4,0,0,0,0,0,0,7,0,5,2,0,3,1,2,0,21,3,0,2,51,15,0,5,0,0,0,0,3,56,1,2,68,0,0,1,0,0,6,0,646,0,10,1,2,0
Zotu104,1,37,0,31,140,25,0,0,0,5,0,10,4,67,1,45,470,14,120,15,0,0,17,0,0,0,0,1,0,0,97,683,10,52,534,0,9,9,9,0,0,0,330,0,21,30,176,0
Zotu6,1292,8698,6061,10,96,52,0,0,0,109,37,353,16,203,47,2,250,29,53,37,10,220,1778,1883,1,0,0,41,7,98,399,2742,144,16,927,65,27,121,130,0,4,0,321,0,42,0,3,0
Zotu9,7,65,5,584,1479,441,0,0,0,6,0,3,110,74,18,485,2056,134,314,12,3,1,6,1,0,1,0,0,0,0,3646,8778,208,1448,4696,187,0,2,3,2,1,0,289,0,75,408,823,4
Zotu38,509,466,466,701,624,286,246,15,205,62,2,25,465,121,35,308,158,36,128,6,0,118,148,167,31,47,67,0,1,1,745,341,25,368,496,34,5,3,21,107,214,180,253,0,31,129,575,1
Zotu47,484,2410,385,4,29,0,0,0,0,27,24,75,17,123,3,4,43,0,75,10,1,61,452,84,0,2,0,0,0,0,357,509,25,35,445,10,0,0,3,0,0,0,229,0,8,1,1,0
Zotu36,120,311,126,26,80,29,0,0,0,43,0,57,57,82,2,100,452,23,304,12,0,18,76,49,0,1,0,11,4,11,1207,2851,61,224,846,66,47,32,100,0,1,0,218,0,15,1,6,0
Zotu86,480,197,331,486,384,152,0,0,0,40,0,34,208,67,18,316,205,41,132,0,2,70,60,90,0,3,0,0,0,0,527,273,34,130,71,9,0,0,0,0,0,0,165,0,16,12,21,0
Zotu16,27,55,36,1565,1394,521,0,0,0,0,0,0,105,67,19,13,38,0,9,0,0,0,0,0,0,0,0,0,0,0,5387,1859,284,2120,1263,178,3,0,11,0,1,0,162,0,26,974,1736,2
Zotu126,0,7,0,4,24,13,0,0,0,0,0,3,6,38,9,24,198,23,17,1,3,0,10,4,0,0,0,0,0,0,115,920,35,14,614,21,14,99,74,0,0,0,156,0,29,0,1,0
Zotu25,7,3,2,329,330,506,60,2,48,267,22,210,33,33,41,2206,742,462,1600,41,41,31,68,17,373,131,43,179,4,74,70,79,58,299,156,78,190,147,172,262,77,79,129,0,66,487,517,131
Zotu54,215,3213,837,0,1,0,0,0,1,7,17,66,5,71,10,3,21,8,8,2,4,28,393,144,0,0,0,6,3,40,2,66,8,1,52,0,7,18,28,0,0,0,126,0,15,0,0,0
Zotu59,670,508,629,267,311,108,0,0,0,41,0,25,376,106,21,150,57,27,98,2,0,147,147,105,1,7,0,0,0,0,560,201,31,79,34,0,2,0,0,0,0,0,118,0,40,8,7,0
Zotu19,276,364,298,998,924,1692,13,0,18,332,23,198,148,490,291,676,522,203,430,3,20,983,1032,361,2,0,0,0,0,0,773,871,489,2545,847,486,20,31,16,98,45,24,107,0,70,104,81,21
Zotu23,794,128,385,1594,397,350,0,0,0,68,0,37,3323,86,77,758,122,56,806,0,0,65,68,68,0,0,0,0,0,0,3100,364,59,1133,149,30,0,0,3,0,1,0,98,0,16,727,476,5
Zotu4,3512,156,665,715,156,275,0,0,0,112,0,88,6632,166,198,2018,170,236,6054,27,15,660,88,382,0,4,0,0,1,8,4534,826,409,2929,148,127,27,48,29,0,0,0,97,0,44,2219,675,51
Zotu7,73,9,38,1013,307,299,2505,6,743,86,0,11,400,13,3,739,94,50,529,0,1,44,27,77,5131,817,2911,10,0,5,650,60,18,1345,27,34,25,1,27,3926,1711,5323,93,0,3,977,376,23
Zotu527,5,65,7,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,10,0,0,28,153,69,0,0,0,1,0,0,3,4,0,0,14,0,6,43,20,0,0,0,91,0,5,0,0,0
Zotu234,48,76,22,29,37,43,0,0,0,2,0,0,332,31,28,52,9,4,71,0,0,5,3,6,0,0,0,0,0,0,157,157,50,89,46,3,0,0,0,0,0,0,82,0,6,17,14,0
Zotu56,6,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,11,0,0,10,123,78,15,758,307,35,14,130,56,268,17,17,1111,23,78,183,228,10,123,121,81,0,12,77,831,4
Zotu162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,23,1,0,4,60,29,52,265,146,9,0,39,19,63,6,5,511,23,13,72,47,14,81,95,75,0,1,40,261,2
Zotu1119,7,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,12,4,0,2,19,1,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,73,0,18,0,0,0
Zotu139,5,50,2,1,101,5,65,102,86,0,0,0,7,11,0,4,177,0,8,6,0,0,18,0,22,305,78,0,0,1,4,13,0,5,99,0,1,7,1,24,347,170,72,0,0,52,535,1
Zotu1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
Zotu142,106,1208,194,0,0,0,0,0,0,4,0,0,0,2,0,0,8,0,7,9,1,32,325,46,0,0,0,0,0,0,19,184,7,3,37,3,1,0,1,0,0,0,70,0,8,0,0,0
Zotu31,1216,131,413,377,192,250,0,0,0,178,0,109,1275,33,49,693,35,43,592,4,0,45,41,153,0,0,0,0,0,0,879,253,101,660,145,69,0,0,4,0,2,0,65,0,22,135,57,0
Zotu221,209,170,159,0,0,0,0,0,0,14,0,4,0,0,0,3,8,0,29,1,0,69,154,129,0,0,0,6,0,41,89,78,2,6,53,3,61,14,124,0,0,0,64,0,0,0,0,0
Zotu37,11,69,74,106,967,246,2,0,0,20,0,41,54,427,145,16,1389,108,40,9,0,0,4,4,24,27,80,5,0,2,359,1174,59,43,2149,96,7,1,11,34,42,108,63,0,0,15,51,0
Zotu62,0,1,6,51,78,171,22,8,18,42,0,27,4,16,20,591,173,84,328,5,20,43,50,9,422,194,119,2,0,0,129,33,28,1175,88,70,1,0,5,198,124,97,63,0,9,86,48,24
Zotu64,1137,649,524,0,0,0,0,0,0,55,3,45,0,0,0,2,2,2,98,9,0,309,535,492,0,16,0,9,0,13,81,73,4,14,11,0,52,7,91,0,0,0,60,0,3,0,0,0
Zotu111,178,632,82,13,70,45,1,2,0,295,91,327,4,0,0,28,314,32,47,3,2,10,36,10,5,143,26,9,8,22,53,57,2,0,30,1,23,52,38,0,42,5,57,0,0,0,40,0
Zotu770,0,10,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,3,0,121,12,0,54,0,0,19,4,0,2,0,57,0,3,0,0,0
Zotu381,0,12,3,14,45,23,3,0,0,0,0,1,14,21,10,18,69,1,1,1,0,0,0,0,0,4,0,0,0,0,21,135,11,12,173,21,0,0,2,0,0,0,55,0,4,23,10,7
Zotu401,0,7,0,7,41,0,5,0,4,2,0,0,4,40,2,3,69,0,12,0,0,0,0,1,0,9,8,2,3,0,6,5,0,29,250,13,3,8,2,0,12,4,55,0,0,21,81,0
Zotu497,1,4,0,2,13,20,0,0,0,0,3,17,0,0,0,24,109,0,2,3,0,2,20,2,0,0,0,0,0,0,14,51,0,15,134,0,0,2,3,0,0,0,55,0,0,5,12,0
Zotu189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,131,84,11,97,32,102,1,84,124,206,3,4,83,5,197,108,216,0,11,7,52,0,14,1,11,0
Zotu90,197,20,52,210,53,49,0,0,0,503,0,59,119,0,7,299,33,9,508,0,0,234,43,175,1,9,0,8,0,0,578,21,7,255,20,1,7,0,4,0,0,1,52,0,0,50,10,0
Zotu107,4,37,82,0,1,7,0,0,0,275,6,166,2,6,9,70,19,20,339,28,19,531,760,338,0,0,0,11,0,9,12,9,33,12,116,23,18,31,15,0,0,0,51,0,51,0,0,0
Zotu110,140,50,58,114,76,22,0,0,0,106,0,41,196,0,2,281,43,4,363,5,0,23,14,30,0,0,0,0,0,0,649,153,24,427,37,15,0,0,0,1,0,0,51,0,3,61,48,0
Zotu377,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,22,0,0,0,0,0,0,0,51,0,0,0,97,0
Zotu99,144,833,46,2,2,0,0,0,0,72,32,34,28,732,14,13,119,0,87,15,3,58,292,53,1,0,0,4,8,0,143,332,24,20,55,18,9,4,7,0,0,0,51,0,2,2,2,0
Zotu117,1,1,10,11,26,56,0,0,0,227,11,176,0,2,21,341,123,59,235,7,33,77,103,65,0,0,0,15,1,3,58,25,63,694,49,26,43,72,52,0,1,2,50,0,35,3,4,1
Zotu197,2,142,35,8,91,27,1,5,2,3,2,4,1,22,2,5,238,8,10,3,1,3,46,28,5,75,5,4,1,6,4,187,3,5,356,7,14,61,25,0,1,4,50,0,0,9,58,0
Zotu402,9,97,11,6,69,18,6,5,4,6,0,4,5,63,1,5,46,0,4,0,0,0,19,11,0,0,0,1,0,0,17,29,2,12,59,0,1,7,1,1,2,1,50,0,0,8,132,0
Zotu169,34,138,2,19,56,7,22,4,1,4,5,3,0,5,0,12,195,1,56,2,0,20,135,17,18,175,22,18,2,3,28,156,1,12,291,1,90,114,69,5,33,8,48,0,0,15,137,3
Zotu475,6,25,2,9,69,3,0,4,0,3,0,0,0,4,0,1,19,0,1,3,0,0,11,2,2,45,0,0,0,0,22,29,0,11,193,4,0,4,2,0,13,5,48,0,4,8,34,0
Zotu706,0,4,30,2,6,0,0,0,0,0,1,4,3,56,8,2,8,2,11,0,0,0,1,0,0,0,0,0,0,0,6,50,2,2,70,1,0,0,0,0,0,0,48,0,0,0,0,0
Zotu264,0,0,0,74,223,94,0,0,0,0,0,0,0,2,0,50,295,1,98,3,0,0,0,0,0,0,0,0,0,0,6,44,0,25,82,2,0,0,0,0,0,0,47,0,10,24,46,1
Zotu182,133,36,108,60,66,27,11,0,3,33,0,1,503,28,9,49,23,1,166,5,0,0,8,4,0,0,0,0,0,0,148,109,7,64,30,1,0,0,0,0,0,0,46,0,0,20,23,0
Zotu133,10,3,26,0,0,8,0,0,0,605,13,439,4,0,7,109,44,14,281,2,3,172,184,91,0,0,0,40,1,25,11,13,8,72,12,2,80,116,76,0,0,0,45,0,7,0,0,0
Zotu116,109,1204,77,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,10,1,2,70,1179,168,0,0,0,1,0,10,5,28,2,2,7,0,13,7,5,0,0,0,44,0,0,0,0,0
Zotu129,3,10,53,13,19,52,0,0,0,152,0,74,8,4,20,614,83,62,417,0,19,60,38,32,0,0,0,0,0,0,75,12,44,719,31,18,1,2,0,0,0,0,44,0,16,1,1,0
Zotu96,14,36,22,547,675,469,0,0,14,0,0,8,0,25,0,1,297,35,5,0,0,4,22,5,0,9,0,0,0,0,12,28,3,8,198,31,0,6,5,0,4,7,44,0,2,78,659,4
Zotu83,379,151,142,546,336,169,0,0,0,49,0,25,133,2,26,494,372,64,327,3,2,112,76,55,0,0,0,0,0,0,334,69,18,204,69,16,0,0,1,0,0,0,41,0,0,11,16,0
Zotu143,55,87,1,0,0,0,1,0,0,10,4,2,0,0,0,12,255,17,28,7,2,42,573,64,9,61,22,65,9,67,62,221,5,6,71,0,99,158,70,1,10,8,39,0,0,11,12,0
Zotu996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3,0,0,18,0,4,0,3,1,2,1,39,0,8,18,68,0
Zotu453,0,30,0,0,5,0,0,0,0,0,0,0,0,2,0,2,134,0,0,0,5,0,1,2,0,0,0,0,0,0,0,204,0,0,154,7,1,0,0,0,0,0,38,0,0,0,10,0
Zotu328,23,44,13,4,9,1,0,0,0,11,0,10,31,39,3,25,132,13,117,10,0,0,5,0,0,0,0,22,0,29,76,139,7,4,32,0,10,27,38,0,0,0,37,0,1,0,2,0
Zotu231,9,84,0,12,155,39,32,20,40,6,0,1,2,13,7,6,51,0,10,1,0,7,46,2,18,409,34,1,0,0,16,68,7,11,111,0,15,7,13,18,20,30,36,0,5,50,100,0
Zotu306,14,270,19,0,5,0,0,0,0,0,0,0,11,140,11,0,2,7,2,5,0,5,230,32,0,0,0,3,0,2,3,141,5,2,21,0,0,6,1,0,0,0,34,0,0,0,0,0
Zotu188,22,277,72,0,13,10,0,0,0,10,0,5,16,328,39,12,157,2,41,10,0,11,61,34,0,0,0,2,0,0,43,423,6,12,93,0,0,0,0,0,1,0,33,0,0,0,0,0
Zotu20,777,1105,213,456,935,264,580,88,80,185,1,114,581,74,47,284,1793,117,575,29,23,666,1525,533,335,2042,334,379,37,310,436,170,3,41,300,5,163,153,103,16,131,88,33,0,15,130,342,14
Zotu446,6,231,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,14,200,44,0,0,0,0,0,0,4,37,0,0,3,0,3,0,0,0,1,0,33,0,0,0,0,0
Zotu155,28,3,45,265,60,28,1,0,0,1,0,6,201,2,2,99,3,1,268,0,0,6,0,0,0,0,0,0,0,0,482,24,4,185,11,4,0,0,0,0,8,0,31,0,0,326,95,6
Zotu1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,0,2,19,6,0,7,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,30,0,2,5,0,0
Zotu277,2,10,35,8,13,17,0,0,0,108,13,107,9,84,30,116,25,37,220,3,8,43,106,23,0,1,0,4,0,9,10,9,2,12,6,0,20,16,7,0,1,0,30,0,19,0,0,0
Zotu119,0,0,0,11,12,38,21,9,23,0,0,0,0,0,0,174,57,15,200,2,5,0,5,0,366,85,87,1,0,2,30,3,2,170,28,30,3,31,10,500,125,148,29,0,6,371,379,54
Zotu51,636,232,679,0,0,0,0,0,0,314,0,348,1,0,0,24,1,0,122,0,0,1016,305,916,0,2,2,241,0,76,198,35,29,95,6,13,880,87,854,0,0,0,29,0,3,0,0,0
Zotu91,1056,230,527,0,6,5,0,0,0,249,0,125,3,0,4,23,8,0,137,0,0,133,151,300,0,0,0,21,0,6,210,83,6,37,15,0,53,28,135,0,0,0,29,0,4,0,0,0
Zotu2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,28,0,0,0,0,0
Zotu720,7,3,3,20,3,7,0,0,0,0,0,0,10,0,0,8,1,0,28,0,0,0,0,0,0,0,0,0,0,0,69,3,0,21,6,0,0,0,0,0,0,0,28,0,0,56,21,0
Zotu3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0,0,0,0
Zotu35,925,282,426,466,253,253,0,0,0,107,3,59,898,8,21,301,53,6,372,0,2,221,179,164,0,0,0,0,0,0,1274,339,100,943,81,16,0,0,4,0,0,0,27,0,5,187,101,4
